score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.539,DRIFTING_LONGLINES,IMULA 0813 CHW,417081332,LKA,colombo,99.4,94.2,11.3,4.8,2023-09-22T00:05:28.000Z,2023-09-22T04:51:34.000Z,,,7ceeb8012-211c-1d84-9960-37e1e9751da1,TFCCTF{417081332_colombo_22.09.2023_04:51_AM_99.4}
0.539,OTHER_PURSE_SEINES,MONSTERS,367773470,USA,seward anchorage,201.0,192.1,7.0,15.6,2023-09-04T23:03:20.000Z,2023-09-05T14:37:22.000Z,,,b461c03d6-6999-5b15-c6ce-77795990a5c2,TFCCTF{367773470_seward anchorage_05.09.2023_02:37_PM_201.0}
0.538,SET_LONGLINES,KING KAULUMA,659262000,NAM,walvis bay,343.2,342.3,6.9,27.0,2023-09-02T11:40:00.000Z,2023-09-03T14:41:14.000Z,,,9dc659c84-4ba7-1628-bd05-4708cef248eb,TFCCTF{659262000_walvis bay_03.09.2023_02:41_PM_343.2}
0.538,TRAWLERS,YUEXINHUIYU02162,412462593,CHN,zhuhai,99.9,90.3,9.6,5.6,2023-09-04T17:04:53.000Z,2023-09-04T22:43:14.000Z,,,5a9ec7f3c-c295-62c2-9d6d-b956590494be,TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_99.9}
0.537,TRAWLERS,ZHELINGYU26878,412419642,CHN,taizhou,307.9,167.2,9.6,17.3,2023-09-16T04:49:35.000Z,2023-09-16T22:09:33.000Z,,,5eddf8ff0-0e71-3c59-6b1b-01b4a63afaf4,TFCCTF{412419642_taizhou_16.09.2023_10:09_PM_307.9}
0.537,TRAWLERS,ZHELINGYU23456,412417025,CHN,taizhou,332.6,201.6,8.6,20.9,2023-09-16T10:46:00.000Z,2023-09-17T07:37:17.000Z,,,afeae34e2-25be-2ef8-8e05-079c7137df58,TFCCTF{412417025_taizhou_17.09.2023_07:37_AM_332.6}
0.536,DRIFTING_LONGLINES,SHENG YU FENG,416001852,TWN,zhongyun,117.8,116.6,7.6,8.4,2023-09-07T04:31:25.000Z,2023-09-07T12:54:03.000Z,,,86e44b4df-fc85-c3ff-77e2-eeb18aca0d14,TFCCTF{416001852_zhongyun_07.09.2023_12:54_PM_117.8}
0.535,FISHING,ZHELINYU21478,412410687,CHN,gouqi island,162.6,122.8,8.5,10.3,2023-09-03T06:59:39.000Z,2023-09-03T17:20:32.000Z,,,3e27506b4-47d4-332d-aec1-8b350baf76ba,TFCCTF{412410687_gouqi island_03.09.2023_05:20_PM_162.6}
0.535,FIXED_GEAR,SHUNLI NO28,416004255,TWN,gengfang,142.5,112.0,8.8,8.8,2023-09-05T02:20:17.000Z,2023-09-05T11:05:43.000Z,,,8bedda303-3878-13a5-2a3e-ad44979c8b6a,TFCCTF{416004255_gengfang_05.09.2023_11:05_AM_142.5}
0.535,TRAWLERS,ZHELINGYU58111,412418636,CHN,songmen,469.4,251.5,9.9,25.7,2023-09-04T13:15:56.000Z,2023-09-05T14:55:14.000Z,,,5cc9495b5-5a91-aceb-ce4c-ace060fc04ad,TFCCTF{412418636_songmen_05.09.2023_02:55_PM_469.4}
0.535,OTHER_PURSE_SEINES,ZHEDAIYUYUN01437,412410905,CHN,zhoushan,351.2,294.0,7.3,25.9,2023-09-03T06:58:26.000Z,2023-09-04T08:52:10.000Z,,,8dd9d85e8-8cbe-1de0-4fcc-447e25783b87,TFCCTF{412410905_zhoushan_04.09.2023_08:52_AM_351.2}
0.535,NA,011588,12346,,yuhuan,226.1,166.2,7.7,15.8,2023-09-04T16:29:14.000Z,2023-09-05T08:15:05.000Z,,,708d59751-15dc-cfdf-550d-28e783398281,TFCCTF{12346_yuhuan_05.09.2023_08:15_AM_226.1}
0.535,SET_GILLNETS,CHUBEI MARU NO.21,431200417,JPN,shimoda,367.4,364.2,6.9,28.9,2023-09-09T18:54:02.000Z,2023-09-10T23:49:47.000Z,,,26d5745db-bded-076f-f6b9-b9df31a8536c,TFCCTF{431200417_shimoda_10.09.2023_11:49_PM_367.4}
0.534,TRAWLERS,00295,290029501,,songmen,485.8,259.8,10.1,25.9,2023-09-04T13:13:46.000Z,2023-09-05T15:06:25.000Z,,,59818bfe3-30ab-d8dd-bd54-ae91d00efeaf,TFCCTF{290029501_songmen_05.09.2023_03:06_PM_485.8}
0.534,TRAWLERS,ZHELINGYU28858,412419298,CHN,taizhou,282.8,178.2,8.4,18.2,2023-09-16T04:33:45.000Z,2023-09-16T22:48:11.000Z,,,6809703b3-373f-18eb-b540-0377c5bcc1a2,TFCCTF{412419298_taizhou_16.09.2023_10:48_PM_282.8}
0.533,FISHING,ZHEPUYU68051,412422712,CHN,zhoushan,301.5,165.7,9.3,17.5,2023-09-15T13:09:47.000Z,2023-09-16T06:39:55.000Z,,,245d5a535-57ea-63c5-5658-04670f999556,TFCCTF{412422712_zhoushan_16.09.2023_06:39_AM_301.5}
0.533,NA,ZHELINGYU52049,412419554,CHN,songmen,482.2,257.1,10.1,25.8,2023-09-04T13:15:03.000Z,2023-09-05T15:02:08.000Z,,,159747c87-74e9-9bca-8434-b227088a0510,TFCCTF{412419554_songmen_05.09.2023_03:02_PM_482.2}
0.533,TRAWLERS,ANNE RISLEY,316014440,CAN,argentia,381.3,220.7,11.2,18.5,2023-09-07T01:05:31.000Z,2023-09-07T19:33:20.000Z,,,026995043-38ee-18fa-8433-9b1be40ccc05,TFCCTF{316014440_argentia_07.09.2023_07:33_PM_381.3}
0.531,FISHING,ZHEPUYU91003,412422991,CHN,zhoushan,360.1,285.8,7.5,26.0,2023-09-04T11:39:01.000Z,2023-09-05T13:41:53.000Z,,,0d714495e-ee07-7115-69fe-7f3a8925dcae,TFCCTF{412422991_zhoushan_05.09.2023_01:41_PM_360.1}
0.531,TRAWLERS,ZHELINGYU23630,412418257,CHN,taizhou,292.1,167.4,11.1,14.2,2023-09-16T08:07:58.000Z,2023-09-16T22:20:04.000Z,,,13da9f4f3-32d1-5182-a383-93710ff44eb6,TFCCTF{412418257_taizhou_16.09.2023_10:20_PM_292.1}
0.531,FISHING,ZHELINGYU18056,412418214,CHN,taizhou,278.7,168.7,11.4,13.1,2023-09-04T23:42:40.000Z,2023-09-05T12:51:28.000Z,,,852833992-2c3f-1bbc-8b75-e91c93399617,TFCCTF{412418214_taizhou_05.09.2023_12:51_PM_278.7}
0.531,FISHING,ZHEDINGYU01126,412424584,CHN,zhoushan,274.8,183.3,8.1,18.3,2023-09-04T09:16:57.000Z,2023-09-05T03:37:56.000Z,,,a2279b3dd-d432-594f-1f04-2377309d531f,TFCCTF{412424584_zhoushan_05.09.2023_03:37_AM_274.8}
0.531,FISHING,ZHEDINGYU 01137,412424589,CHN,zhoushan,360.2,221.7,8.5,23.0,2023-09-04T06:09:37.000Z,2023-09-05T05:09:00.000Z,,,5983ce7dc-c776-9215-b990-901baef67cc6,TFCCTF{412424589_zhoushan_05.09.2023_05:09_AM_360.2}
0.531,SQUID_JIGGER,MIN SHI YU 05329,412451522,CHN,yuhuan,192.2,144.2,7.8,13.3,2023-09-04T02:40:13.000Z,2023-09-04T16:00:21.000Z,,,3ea05c3ba-a881-8910-364a-192949314cb9,TFCCTF{412451522_yuhuan_04.09.2023_04:00_PM_192.2}
0.53,FISHING,ZHEPUYU72168,412423493,CHN,zhoushan,270.9,192.2,7.8,18.6,2023-09-04T02:27:44.000Z,2023-09-04T21:06:36.000Z,,,ac31e9ce2-2a93-c32c-8ef1-1c3dd29ee6e0,TFCCTF{412423493_zhoushan_04.09.2023_09:06_PM_270.9}
0.53,TRAWLERS,ZHELINGYU28883,412417661,CHN,taizhou,303.6,194.4,8.3,19.8,2023-09-16T04:52:29.000Z,2023-09-17T00:43:06.000Z,,,006944421-1bb7-7b3b-1a81-9e6a474548e1,TFCCTF{412417661_taizhou_17.09.2023_12:43_AM_303.6}
0.53,POLE_AND_LINE,MOHAMMADI,422341635,IRN,chabahar,95.7,121.2,8.3,6.2,2023-09-23T17:46:17.000Z,2023-09-24T00:00:56.000Z,,,4d384f391-150e-185b-96c0-a66dff7eb007,TFCCTF{422341635_chabahar_24.09.2023_12:00_AM_95.7}
0.53,NA,ZHEFENGYU18056,412438852,CHN,zhoushan,295.3,156.4,9.9,16.1,2023-09-18T04:14:55.000Z,2023-09-18T20:20:20.000Z,,,023370a34-400e-74ae-ccfc-1ba10a3d7841,TFCCTF{412438852_zhoushan_18.09.2023_08:20_PM_295.3}
0.529,FISHING,ZHESANYUYUN80999,412411337,CHN,zhoushan,283.4,191.2,8.0,19.1,2023-09-21T05:43:23.000Z,2023-09-22T00:46:54.000Z,,,aed95b675-50c6-6590-2949-138e7cad79d2,TFCCTF{412411337_zhoushan_22.09.2023_12:46_AM_283.4}
0.529,TRAWLERS,ZHELINGYU17069,412417261,CHN,taizhou,303.6,177.7,8.7,18.8,2023-09-04T10:18:50.000Z,2023-09-05T05:05:49.000Z,,,6246766b1-1c3f-adb9-96c5-8262a8392768,TFCCTF{412417261_taizhou_05.09.2023_05:05_AM_303.6}
0.529,TRAWLERS,ZHELINGYU28807,412417955,CHN,taizhou,295.1,172.3,11.3,14.1,2023-09-16T08:39:24.000Z,2023-09-16T22:48:14.000Z,,,3b0c3d6dc-ce7a-a96f-1b46-13e792fe31a2,TFCCTF{412417955_taizhou_16.09.2023_10:48_PM_295.1}
0.529,NA,YUEYANGDONGYU13208,412476883,CHN,zhuhai,111.1,95.0,9.4,6.4,2023-09-04T16:29:51.000Z,2023-09-04T22:54:10.000Z,,,4f22b0293-3154-b727-a152-511f93b4cd9e,TFCCTF{412476883_zhuhai_04.09.2023_10:54_PM_111.1}
0.528,FISHING,ZHEPUYU61666,412421778,CHN,ningbo,101.5,103.8,8.0,6.8,2023-09-05T09:07:29.000Z,2023-09-05T15:58:13.000Z,,,3d7f61a2d-db4d-8bd1-9483-549b6a78554c,TFCCTF{412421778_ningbo_05.09.2023_03:58_PM_101.5}
0.528,FISHING,FU_DA_MING_67,416003213,TWN,gengfang,148.0,119.8,8.2,9.7,2023-09-05T05:52:25.000Z,2023-09-05T15:37:06.000Z,,,1d709d30c-c16b-3b3b-ad13-e42652045e65,TFCCTF{416003213_gengfang_05.09.2023_03:37_PM_148.0}
0.527,SQUID_JIGGER,ZHEXIANGYU43098,412410183,CHN,shipu,241.2,180.0,7.6,17.0,2023-09-04T21:59:55.000Z,2023-09-05T15:02:21.000Z,,,602a4a2b6-684a-0df8-8810-a14604ebf703,TFCCTF{412410183_shipu_05.09.2023_03:02_PM_241.2}
0.527,TRAWLERS,SAN PASCUAL,701006057,ARG,mar del plata,483.4,323.0,8.1,32.4,2023-09-04T22:51:15.000Z,2023-09-06T07:16:11.000Z,,,4d4b99b00-0167-2238-f2fe-63e777d96ed2,TFCCTF{701006057_mar del plata_06.09.2023_07:16_AM_483.4}
0.527,FISHING,SHJI SHI SHENG NO.21,416000168,TWN,suao,189.3,132.4,8.4,12.2,2023-09-06T22:58:52.000Z,2023-09-07T11:08:13.000Z,,,b44351643-3d32-d15c-0360-98fad423faa3,TFCCTF{416000168_suao_07.09.2023_11:08_AM_189.3}
0.527,TRAWLERS,ZHELINGYU58058,412419332,CHN,songmen,458.8,245.5,9.5,26.1,2023-09-04T13:20:37.000Z,2023-09-05T15:24:33.000Z,,,aae9c1b3f-fd61-cef1-2dd9-920c3ca73df4,TFCCTF{412419332_songmen_05.09.2023_03:24_PM_458.8}
0.527,TRAWLERS,ZHELINGYU23858,412418891,CHN,taizhou,298.9,183.5,11.6,14.0,2023-09-16T08:07:38.000Z,2023-09-16T22:05:08.000Z,,,6b34d0403-3c30-b9c9-f82b-2160fbcc98cc,TFCCTF{412418891_taizhou_16.09.2023_10:05_PM_298.9}
0.527,TRAWLERS,ZHEPUYU12879,412422249,CHN,ningbo,350.8,235.0,8.0,23.6,2023-09-03T17:13:26.000Z,2023-09-04T16:47:02.000Z,,,1d5544e9d-dd46-c1bf-7254-1c2545889cd7,TFCCTF{412422249_ningbo_04.09.2023_04:47_PM_350.8}
0.526,TRAWLERS,ZHEPUYU68956,412422241,CHN,zhoushan,257.9,167.5,8.2,17.1,2023-09-11T18:07:48.000Z,2023-09-12T11:11:35.000Z,,,4d5308d89-99b9-f77e-4b93-6c9b274c081f,TFCCTF{412422241_zhoushan_12.09.2023_11:11_AM_257.9}
0.524,TRAWLERS,56062,412419256,CHN,songmen,482.8,254.9,10.3,25.2,2023-09-04T13:14:15.000Z,2023-09-05T14:27:48.000Z,,,8990de9a6-605d-945d-f48e-ffaaf93cdd44,TFCCTF{412419256_songmen_05.09.2023_02:27_PM_482.8}
0.524,FISHING,ZHEPUYUYUN48880,412421364,CHN,ningbo,276.3,254.0,7.0,21.3,2023-09-04T10:36:17.000Z,2023-09-05T07:55:02.000Z,,,24ad8f3df-fcbe-bc3e-1a49-2b753c267717,TFCCTF{412421364_ningbo_05.09.2023_07:55_AM_276.3}
0.523,SET_LONGLINES,SHIN JINN SHENG NO.3,416001659,TWN,suao,172.0,125.3,8.4,11.0,2023-09-06T23:52:56.000Z,2023-09-07T10:53:01.000Z,,,43b265c31-15cc-b27c-c074-b748416743cd,TFCCTF{416001659_suao_07.09.2023_10:53_AM_172.0}
0.523,TRAWLERS,ZHEDINGYU14318,412410257,CHN,zhoushan,357.2,261.0,7.7,25.1,2023-09-04T04:09:21.000Z,2023-09-05T05:14:40.000Z,,,1ddf8e42d-d976-b428-c9b4-f4875e0049ac,TFCCTF{412410257_zhoushan_05.09.2023_05:14_AM_357.2}
0.523,TRAWLERS,YUE ZHU YU 30068,412465155,CHN,guangzhou,101.2,90.3,9.3,5.9,2023-09-04T08:34:11.000Z,2023-09-04T14:25:18.000Z,,,18fde845b-b53b-bc81-0b2c-39f34d0e94d9,TFCCTF{412465155_guangzhou_04.09.2023_02:25_PM_101.2}
0.523,TRAWLERS,ZHEPUYU21136,412422924,CHN,zhoushan,289.7,189.9,8.1,19.3,2023-09-03T07:37:05.000Z,2023-09-04T02:56:00.000Z,,,638ebb01c-c39f-0c87-a58e-1f8096a7face,TFCCTF{412422924_zhoushan_04.09.2023_02:56_AM_289.7}
0.522,FISHING,ZHE DING YU 05129,412424688,CHN,zhoushan,350.0,248.2,7.8,24.3,2023-09-04T13:27:20.000Z,2023-09-05T13:43:15.000Z,,,4d5acb9d1-1840-b4f3-68e5-24168355ea83,TFCCTF{412424688_zhoushan_05.09.2023_01:43_PM_350.0}
0.522,TRAWLERS,69287,412418973,CHN,taizhou,200.3,141.1,8.0,13.4,2023-09-04T11:35:05.000Z,2023-09-05T01:02:00.000Z,,,7f274a9df-f250-8430-1fdd-59a87c734deb,TFCCTF{412418973_taizhou_05.09.2023_01:02_AM_200.3}
0.521,TRAWLERS,ZHELINGYU95086,412419798,CHN,taizhou,439.5,242.1,9.1,26.2,2023-09-04T15:23:18.000Z,2023-09-05T17:35:35.000Z,,,26d4005bc-c5be-1a2f-e506-57b75ce8f632,TFCCTF{412419798_taizhou_05.09.2023_05:35_PM_439.5}
0.521,TRAWLERS,ZHELINGYU58003,412419173,CHN,songmen,482.0,254.4,10.5,24.9,2023-09-04T13:20:30.000Z,2023-09-05T14:13:31.000Z,,,24a90e4f0-045e-dbed-c334-28ff09540f7b,TFCCTF{412419173_songmen_05.09.2023_02:13_PM_482.0}
0.52,FIXED_GEAR,ZHEXIANGYU40079,412435506,CHN,lusi,299.4,161.4,10.8,15.0,2023-09-04T04:31:35.000Z,2023-09-04T19:33:24.000Z,,,8c562d8ff-f7c0-5dd4-12f1-9e067e4df5d1,TFCCTF{412435506_lusi_04.09.2023_07:33_PM_299.4}
0.52,FISHING,ZHEPUYU42073,412421599,CHN,zhoushan,371.9,295.8,7.4,27.2,2023-09-04T10:31:48.000Z,2023-09-05T13:41:54.000Z,,,847b6641e-e963-6850-7c20-9ccd218c7743,TFCCTF{412421599_zhoushan_05.09.2023_01:41_PM_371.9}
0.52,TRAWLERS,ZHE PU YU 21011,412423739,CHN,ningbo,273.7,169.3,8.3,17.7,2023-09-03T09:10:34.000Z,2023-09-04T02:55:05.000Z,,,84fd5fb43-38bc-8f54-b9f2-2523c25d1180,TFCCTF{412423739_ningbo_04.09.2023_02:55_AM_273.7}
0.52,TRAWLERS,TOUAJIL,654045600,MRT,cansado,156.3,157.4,6.8,12.4,2023-09-08T18:42:48.000Z,2023-09-09T07:09:37.000Z,,,4fcfbeb99-92d9-155a-d1e4-4ebce24dc5f8,TFCCTF{654045600_cansado_09.09.2023_07:09_AM_156.3}
0.519,TRAWLERS,ZHEDONGYU01297,412430738,CHN,wenzhou,187.7,123.2,9.2,11.0,2023-09-16T05:29:49.000Z,2023-09-16T16:28:23.000Z,,,4a04341e6-69a3-7bd1-2565-9dc1175dee16,TFCCTF{412430738_wenzhou_16.09.2023_04:28_PM_187.7}
0.519,TRAWLERS,ZHELINGYU93010,412416429,CHN,taizhou,212.4,133.9,8.9,12.9,2023-09-04T03:04:34.000Z,2023-09-04T16:00:55.000Z,,,4ce30763f-f45a-829a-19ed-ef2c0e026211,TFCCTF{412416429_taizhou_04.09.2023_04:00_PM_212.4}
0.519,FISHING,MINSHIYU05339,412451554,CHN,yuhuan,191.7,143.2,7.7,13.4,2023-09-04T02:45:58.000Z,2023-09-04T16:07:27.000Z,,,4f2f395cd-d89c-09d4-3c97-1e1a09ebf387,TFCCTF{412451554_yuhuan_04.09.2023_04:07_PM_191.7}
0.519,TRAWLERS,ZHELINGYU93039,412417673,CHN,taizhou,263.1,168.3,8.2,17.4,2023-09-04T11:07:36.000Z,2023-09-05T04:30:54.000Z,,,91f8e5bba-a19e-a4ed-2a85-dd9349a3bad1,TFCCTF{412417673_taizhou_05.09.2023_04:30_AM_263.1}
0.519,TRAWLERS,ZHELINGYU28896,412417866,CHN,taizhou,305.1,170.2,8.9,18.5,2023-09-16T04:07:58.000Z,2023-09-16T22:35:43.000Z,,,40cd96423-3853-ed70-4e03-3f8aa201ef7e,TFCCTF{412417866_taizhou_16.09.2023_10:35_PM_305.1}
0.518,TRAWLERS,ZHEPUYU64178,412423852,CHN,zhoushan,307.8,204.5,8.0,20.8,2023-09-04T05:15:44.000Z,2023-09-05T02:01:39.000Z,,,01bda8122-2926-234f-9ce7-8dc3a9aebdc1,TFCCTF{412423852_zhoushan_05.09.2023_02:01_AM_307.8}
0.517,TRAWLERS,ZHEPUYU21188,412423856,CHN,ningbo,303.8,198.3,8.1,20.3,2023-09-03T07:39:19.000Z,2023-09-04T03:59:03.000Z,,,3f1892531-1212-0a47-a0a5-6d06a722f6f5,TFCCTF{412423856_ningbo_04.09.2023_03:59_AM_303.8}
0.516,FISHING,ZHELINGYU78068,412417754,CHN,taizhou,383.4,267.8,7.8,26.5,2023-09-16T07:27:53.000Z,2023-09-17T10:00:18.000Z,,,a931fed0e-ee8d-2738-9bb8-69dd4d5c545f,TFCCTF{412417754_taizhou_17.09.2023_10:00_AM_383.4}
0.516,TRAWLERS,ZHELINGYU46005,412418994,CHN,taizhou,485.0,252.0,10.3,25.3,2023-09-04T13:15:09.000Z,2023-09-05T14:34:32.000Z,,,adedf263d-dbd5-7eb3-11b9-0b5d54aad30b,TFCCTF{412418994_taizhou_05.09.2023_02:34_PM_485.0}
0.516,FIXED_GEAR,SUQIYU03359,412353288,CHN,lusi,300.6,184.1,11.7,13.9,2023-09-15T14:08:37.000Z,2023-09-16T04:04:10.000Z,,,372778994-42a4-e5bd-22db-f7107490d775,TFCCTF{412353288_lusi_16.09.2023_04:04_AM_300.6}
0.515,FISHING,ZHE PU YU YUN 08758,412008758,CHN,zhoushan,311.0,205.6,8.0,21.0,2023-09-07T01:15:31.000Z,2023-09-07T22:14:19.000Z,,,7d09b3116-6b5b-ddd1-8c04-d85d2cbcec74,TFCCTF{412008758_zhoushan_07.09.2023_10:14_PM_311.0}
0.515,TRAWLERS,ZHELINGYU28850,412419685,CHN,taizhou,271.5,170.2,8.2,17.8,2023-09-16T05:05:10.000Z,2023-09-16T22:54:20.000Z,,,27cee062c-cf10-055a-fb68-b69c47f60841,TFCCTF{412419685_taizhou_16.09.2023_10:54_PM_271.5}
0.515,TRAWLERS,F/V BARA AR VICHER,228021700,FRA,guilvinec,370.5,267.3,7.7,26.1,2023-09-25T03:50:31.000Z,2023-09-26T05:54:11.000Z,,,0937ecccb-b8c8-7b8a-771a-6ff8b28e0874,TFCCTF{228021700_guilvinec_26.09.2023_05:54_AM_370.5}
0.514,FISHING,ZHEDAIYU14299,413413260,CHN,zhoushan,389.6,275.5,7.7,27.2,2023-09-03T05:28:54.000Z,2023-09-04T08:38:53.000Z,,,95b278c17-7181-1353-ef82-e2bf9aa9277c,TFCCTF{413413260_zhoushan_04.09.2023_08:38_AM_389.6}
0.514,TRAWLERS,MINLIANYU67997,412442114,CHN,yuhuan,224.5,164.7,7.6,15.9,2023-09-04T15:56:48.000Z,2023-09-05T07:51:40.000Z,,,161c9d0da-a073-7759-d2dd-2ee0df3912c8,TFCCTF{412442114_yuhuan_05.09.2023_07:51_AM_224.5}
0.514,TRAWLERS,ZHELINGYU28996,412416337,CHN,taizhou,312.6,177.7,8.7,19.3,2023-09-04T09:43:55.000Z,2023-09-05T05:03:25.000Z,,,a87093053-334d-e92c-fdee-70b46de658a0,TFCCTF{412416337_taizhou_05.09.2023_05:03_AM_312.6}
0.514,DRIFTING_LONGLINES,SEEKER 3,368314210,USA,atlantic city,293.2,217.3,7.6,20.9,2023-09-06T22:02:17.000Z,2023-09-07T18:55:30.000Z,,,a4e261cfc-c932-58ff-e07d-9079e21362a7,TFCCTF{368314210_atlantic city_07.09.2023_06:55_PM_293.2}
0.513,TRAWLERS,ZHELINGYU20318,412419739,CHN,taizhou,391.0,239.0,8.3,25.3,2023-09-04T16:45:25.000Z,2023-09-05T18:06:08.000Z,,,371c95cd6-6722-7dc5-e4c0-864b3a58319b,TFCCTF{412419739_taizhou_05.09.2023_06:06_PM_391.0}
0.513,FISHING,MINLIANYUYUN60316,412441961,CHN,ningbo,393.5,230.1,8.6,24.8,2023-09-19T16:42:13.000Z,2023-09-20T17:32:34.000Z,,,685741afd-dadc-ecff-a669-fd481dcfe2c3,TFCCTF{412441961_ningbo_20.09.2023_05:32_PM_393.5}
0.513,TRAWLERS,MINFUDINGYU08899,412450256,CHN,yuhuan,246.6,192.7,7.4,18.0,2023-09-04T13:50:39.000Z,2023-09-05T07:49:44.000Z,,,5a590177f-f7b3-6335-424c-4b7177f1f018,TFCCTF{412450256_yuhuan_05.09.2023_07:49_AM_246.6}
0.513,TRAWLERS,ZHELINGYU23571,412417267,CHN,taizhou,283.6,169.3,8.4,18.1,2023-09-16T04:46:03.000Z,2023-09-16T22:54:50.000Z,,,446b96901-155a-6ccf-1626-d8d2382fdbdb,TFCCTF{412417267_taizhou_16.09.2023_10:54_PM_283.6}
0.513,TRAWLERS,ZHELINGYU 23273,412416118,CHN,taizhou,327.2,182.3,8.8,20.0,2023-09-16T04:21:22.000Z,2023-09-17T00:19:45.000Z,,,91f835e23-3511-6438-007a-c2b014211f9e,TFCCTF{412416118_taizhou_17.09.2023_12:19_AM_327.2}
0.512,TRAWLERS,ZHELINGYU96022,412418757,CHN,taizhou,535.7,291.1,9.0,32.1,2023-09-04T15:22:52.000Z,2023-09-05T23:26:06.000Z,,,b1f038213-32c8-bb22-c8ec-ae04f58f1d74,TFCCTF{412418757_taizhou_05.09.2023_11:26_PM_535.7}
0.511,TRAWLERS,ZHEXIANGYU32076,412419514,CHN,shipu,230.6,133.0,10.2,12.2,2023-09-17T03:04:51.000Z,2023-09-17T15:18:13.000Z,,,720b2cdc6-6caa-0a8e-9c4f-56680674dc56,TFCCTF{412419514_shipu_17.09.2023_03:18_PM_230.6}
0.51,DRIFTING_LONGLINES,AL MURTAZA-- C-F-Z,422341827,IRN,chabahar,164.2,149.5,7.0,12.7,2023-09-12T16:53:23.000Z,2023-09-13T05:37:16.000Z,,,12e2dc45d-ddc3-60d3-4074-def67154892a,TFCCTF{422341827_chabahar_13.09.2023_05:37_AM_164.2}
0.51,INCONCLUSIVE,KMN.MEKAR JAYA BHR,525400937,IDN,dobo,87.7,82.1,10.3,4.6,2023-09-02T21:11:03.000Z,2023-09-03T01:47:31.000Z,,,3e61166da-a8bf-f32e-2615-67ef14967d53,TFCCTF{525400937_dobo_03.09.2023_01:47_AM_87.7}
0.51,SET_LONGLINES,VUI VUI II,367420020,USA,honolulu,533.6,487.6,6.9,41.5,2023-09-04T20:48:58.000Z,2023-09-06T14:18:12.000Z,,,9665cce4f-f65a-71ed-10b7-4ea12de97322,TFCCTF{367420020_honolulu_06.09.2023_02:18_PM_533.6}
0.51,TRAWLERS,ZHEPUYU68598,412422664,CHN,zhoushan,295.4,195.6,8.0,20.1,2023-09-05T04:36:29.000Z,2023-09-06T00:39:51.000Z,,,1086aa91e-ec00-8144-1d3a-c01361e0ec5b,TFCCTF{412422664_zhoushan_06.09.2023_12:39_AM_295.4}
0.51,TRAWLERS,ZHELINGYU29987,412416358,CHN,taizhou,314.5,171.5,9.0,19.0,2023-09-16T08:17:14.000Z,2023-09-17T03:14:24.000Z,,,4c0230d26-6a81-a7a1-ac11-9f5ede9ad9a2,TFCCTF{412416358_taizhou_17.09.2023_03:14_AM_314.5}
0.508,FISHING,52088,412418923,CHN,songmen,493.9,264.3,9.1,29.3,2023-09-04T08:48:18.000Z,2023-09-05T14:08:18.000Z,,,ab4c5c45e-ec87-eecc-1b68-421c251fe98a,TFCCTF{412418923_songmen_05.09.2023_02:08_PM_493.9}
0.508,FISHING,FISH WISH,368182720,USA,wanchese,148.8,131.9,7.4,10.9,2023-09-07T03:55:00.000Z,2023-09-07T14:48:27.000Z,,,5a2a16d08-8f8f-aed9-123b-27b95e4ac474,TFCCTF{368182720_wanchese_07.09.2023_02:48_PM_148.8}
0.507,TRAWLERS,ZHELINGYU58051,412417196,CHN,taizhou,291.1,186.2,8.1,19.5,2023-09-16T04:44:10.000Z,2023-09-17T00:12:21.000Z,,,6610d5410-0403-e4e6-0b2f-d2d1796b4a2e,TFCCTF{412417196_taizhou_17.09.2023_12:12_AM_291.1}
0.507,TRAWLERS,MINLONGYU66810,412444412,CHN,taizhou,239.3,144.2,8.5,15.1,2023-09-05T03:29:48.000Z,2023-09-05T18:38:20.000Z,,,48b48f56c-cd61-5955-c4cb-ddb47c7074fb,TFCCTF{412444412_taizhou_05.09.2023_06:38_PM_239.3}
0.506,SET_LONGLINES,SUHAIMENYU01027,412353315,CHN,lusi,313.4,172.2,11.1,15.2,2023-09-15T15:09:28.000Z,2023-09-16T06:20:35.000Z,,,615acdf98-88a9-b678-d219-10d21abe8a07,TFCCTF{412353315_lusi_16.09.2023_06:20_AM_313.4}
0.506,FISHING,MINXIAYU88898,413688898,CHN,sheyang,127.3,110.3,8.1,8.5,2023-09-03T23:08:51.000Z,2023-09-04T07:39:09.000Z,,,6b2ef07b6-63a8-9c70-3d3e-433cb492146e,TFCCTF{413688898_sheyang_04.09.2023_07:39_AM_127.3}
0.505,FISHING,NAUTICAL DEVOTION,316037805,CAN,pubnico,121.2,100.2,8.8,7.4,2023-09-07T18:29:43.000Z,2023-09-08T01:55:47.000Z,,,79d74110d-db0e-31b4-116e-96f917e92870,TFCCTF{316037805_pubnico_08.09.2023_01:55_AM_121.2}
0.504,TRAWLERS,ZHEXIANGYU48021,412435887,CHN,shipu,155.9,111.1,9.1,9.2,2023-09-16T13:36:46.000Z,2023-09-16T22:49:20.000Z,,,7fa61a11e-e92f-a7b5-a060-f3625768c9a6,TFCCTF{412435887_shipu_16.09.2023_10:49_PM_155.9}
